time	zera	jedynki
398	140004	123165
399	139568	123601
400	139718	123451
401	139664	123505
402	139811	123358
403	139615	123554
404	139542	123627
405	139544	123625
406	139477	123692
407	139566	123603
408	139423	123746
409	139530	123639
410	139371	123798
411	139396	123773
412	139335	123834
413	139439	123730
414	139165	124004
415	139355	123814
416	139258	123911
417	139326	123843
418	139115	124054
419	139052	124117
420	139174	123995
421	139156	124013
422	138943	124226
423	138953	124216
424	138830	124339
425	138889	124280
426	138690	124479
427	138675	124494
428	138843	124326
429	138517	124652
430	138641	124528
431	138528	124641
432	138489	124680
433	138479	124690
434	138369	124800
435	138424	124745
436	138498	124671
437	138392	124777
438	138368	124801
439	138562	124607
440	138228	124941
441	138461	124708
442	138107	125062
443	138278	124891
444	138179	124990
445	138399	124770
446	138356	124813
447	138216	124953
448	138229	124940
449	138220	124949
450	137992	125177
451	138334	124835
452	137992	125177
453	138182	124987
454	138048	125121
455	138155	125014
456	138113	125056
457	138259	124910
458	138049	125120
459	137921	125248
460	137924	125245
461	137903	125266
462	137901	125268
463	137942	125227
464	137788	125381
465	137958	125211
466	137782	125387
467	137812	125357
468	137592	125577
469	137798	125371
470	137609	125560
471	137662	125507
472	137483	125686
473	137636	125533
474	137480	125689
475	137549	125620
476	137431	125738
477	137588	125581
478	137339	125830
479	137532	125637
480	137214	125955
481	137501	125668
482	137283	125886
483	137311	125858
484	137268	125901
485	137330	125839
486	137190	125979
487	137178	125991
488	137068	126101
489	137179	125990
490	137055	126114
491	137202	125967
492	136908	126261
493	137094	126075
494	136857	126312
495	137019	126150
496	136841	126328
497	136939	126230
498	136897	126272
499	136958	126211
500	136820	126349
501	136952	126217
502	136888	126281
503	136976	126193
504	136898	126271
505	136828	126341
506	136809	126360
507	137037	126132
508	136765	126404
509	136832	126337
510	136693	126476
511	136877	126292
512	136679	126490
513	136881	126288
514	136733	126436
515	136812	126357
516	136831	126338
517	136810	126359
518	136678	126491
519	136668	126501
520	136657	126512
521	136696	126473
522	136579	126590
523	136727	126442
524	136633	126536
525	136610	126559
526	136613	126556
527	136610	126559
528	136500	126669
529	136667	126502
530	136352	126817
531	136594	126575
532	136502	126667
533	136503	126666
534	136402	126767
535	136506	126663
536	136341	126828
537	136468	126701
538	136380	126789
539	136365	126804
540	136344	126825
541	136206	126963
542	136329	126840
543	136211	126958
544	136249	126920
545	136257	126912
546	136309	126860
547	136230	126939
548	136001	127168
549	136211	126958
550	136188	126981
551	136151	127018
552	136077	127092
553	136168	127001
554	136071	127098
555	136131	127038
556	136218	126951
557	136216	126953
558	136148	127021
559	136277	126892
560	136023	127146
561	136243	126926
562	136169	127000
563	136114	127055
564	136040	127129
565	136133	127036
566	136043	127126
567	136014	127155
568	136085	127084
569	136008	127161
570	136118	127051
571	136085	127084
572	135938	127231
573	136005	127164
574	135972	127197
575	135938	127231
576	135875	127294
577	135950	127219
578	135883	127286
579	135959	127210
580	135830	127339
581	135924	127245
582	135763	127406
583	135902	127267
584	135820	127349
585	135913	127256
586	135844	127325
587	135851	127318
588	135732	127437
589	135879	127290
590	135673	127496
591	135792	127377
592	135825	127344
593	135828	127341
594	135775	127394
595	135792	127377
596	135816	127353
597	135826	127343
598	135769	127400
599	135782	127387
600	135702	127467
601	135775	127394
602	135791	127378
603	135818	127351
604	135783	127386
605	135763	127406
606	135637	127532
607	135757	127412
608	135646	127523
609	135665	127504
610	135532	127637
611	135636	127533
612	135663	127506
613	135693	127476
614	135574	127595
615	135668	127501
616	135618	127551
617	135660	127509
618	135541	127628
619	135664	127505
620	135472	127697
621	135600	127569
622	135584	127585
623	135598	127571
624	135562	127607
625	135714	127455
626	135537	127632
627	135624	127545
628	135613	127556
629	135645	127524
630	135497	127672
631	135686	127483
632	135483	127686
633	135586	127583
634	135454	127715
635	135653	127516
636	135482	127687
637	135639	127530
638	135511	127658
639	135572	127597
640	135431	127738
641	135619	127550
642	135337	127832
643	135636	127533
644	135513	127656
645	135538	127631
646	135455	127714
647	135554	127615
648	135453	127716
649	135610	127559
650	135457	127712
651	135593	127576
652	135533	127636
653	135614	127555
654	135484	127685
655	135632	127537
656	135439	127730
657	135658	127511
658	135466	127703
659	135570	127599
660	135473	127696
661	135650	127519
662	135453	127716
663	135614	127555
664	135496	127673
665	135614	127555
666	135500	127669
667	135562	127607
668	135442	127727
669	135550	127619
670	135504	127665
671	135495	127674
672	135396	127773
673	135529	127640
674	135408	127761
675	135480	127689
676	135441	127728
677	135513	127656
678	135405	127764
679	135497	127672
680	135449	127720
681	135446	127723
682	135452	127717
683	135483	127686
684	135434	127735
685	135511	127658
686	135394	127775
687	135474	127695
688	135398	127771
689	135514	127655
690	135308	127861
691	135536	127633
692	135372	127797
693	135445	127724
694	135416	127753
695	135467	127702
696	135303	127866
697	135534	127635
698	135350	127819
699	135493	127676
700	135417	127752
701	135472	127697
702	135403	127766
703	135523	127646
704	135409	127760
705	135425	127744
706	135399	127770
707	135484	127685
708	135416	127753
709	135481	127688
710	135388	127781
711	135441	127728
712	135340	127829
713	135442	127727
714	135373	127796
715	135455	127714
716	135415	127754
717	135429	127740
718	135363	127806
719	135453	127716
720	135341	127828
721	135459	127710
722	135396	127773
723	135431	127738
724	135406	127763
725	135471	127698
726	135332	127837
727	135453	127716
728	135336	127833
729	135458	127711
730	135340	127829
731	135370	127799
732	135336	127833
733	135428	127741
734	135296	127873
735	135330	127839
736	135368	127801
737	135398	127771
738	135293	127876
739	135406	127763
740	135273	127896
741	135354	127815
742	135353	127816
743	135344	127825
744	135251	127918
745	135368	127801
746	135249	127920
747	135337	127832
748	135298	127871
749	135342	127827
750	135282	127887
751	135376	127793
752	135299	127870
753	135339	127830
754	135273	127896
755	135288	127881
756	135308	127861
757	135374	127795
758	135313	127856
759	135364	127805
760	135349	127820
761	135303	127866
762	135277	127892
763	135381	127788
764	135279	127890
765	135325	127844
766	135280	127889
767	135306	127863
768	135236	127933
769	135307	127862
770	135270	127899
771	135265	127904
772	135258	127911
773	135312	127857
774	135240	127929
775	135322	127847
776	135227	127942
777	135350	127819
778	135235	127934
779	135313	127856
780	135233	127936
781	135334	127835
782	135260	127909
783	135226	127943
784	135226	127943
785	135301	127868
786	135209	127960
787	135257	127912
788	135216	127953
789	135239	127930
790	135210	127959
791	135261	127908
792	135138	128031
793	135287	127882
794	135136	128033
795	135230	127939
796	135178	127991
797	135225	127944
798	135172	127997
799	135239	127930
800	135138	128031
801	135236	127933
802	135179	127990
803	135174	127995
804	135126	128043
805	135273	127896
806	135142	128027
807	135178	127991
808	135184	127985
